fase,laberinto_id,tamanio,agente,exito,pasos,tiempo_ms,nodos_explorados
5x5,100,5x5,BFS,0,N/A,0.0775,17
5x5,100,5x5,A*,0,N/A,0.0637,17
5x5,100,5x5,Greedy,0,N/A,0.0424,17
5x5,101,5x5,BFS,0,N/A,0.0131,5
5x5,101,5x5,A*,0,N/A,0.0243,5
5x5,101,5x5,Greedy,0,N/A,0.0093,5
5x5,102,5x5,BFS,1,8,0.0277,18
5x5,102,5x5,A*,1,8,0.0305,17
5x5,102,5x5,Greedy,1,8,0.0162,9
5x5,103,5x5,BFS,0,N/A,0.0105,7
5x5,103,5x5,A*,0,N/A,0.0117,7
5x5,103,5x5,Greedy,0,N/A,0.0103,7
5x5,104,5x5,BFS,1,8,0.0277,21
5x5,104,5x5,A*,1,8,0.0515,21
5x5,104,5x5,Greedy,1,8,0.0188,10
5x5,105,5x5,BFS,1,8,0.0327,21
5x5,105,5x5,A*,1,8,0.0458,21
5x5,105,5x5,Greedy,1,8,0.0265,12
5x5,106,5x5,BFS,1,8,0.0312,17
5x5,106,5x5,A*,1,8,0.0277,17
5x5,106,5x5,Greedy,1,8,0.0181,12
5x5,107,5x5,BFS,1,8,0.0165,13
5x5,107,5x5,A*,1,8,0.0174,10
5x5,107,5x5,Greedy,1,8,0.0136,9
5x5,108,5x5,BFS,0,N/A,0.0024,1
5x5,108,5x5,A*,0,N/A,0.0017,1
5x5,108,5x5,Greedy,0,N/A,0.0014,1
5x5,109,5x5,BFS,0,N/A,0.0305,17
5x5,109,5x5,A*,0,N/A,0.0381,17
5x5,109,5x5,Greedy,0,N/A,0.0255,17
10x10,200,10x10,BFS,0,N/A,0.0255,1
10x10,200,10x10,A*,0,N/A,0.0091,1
10x10,200,10x10,Greedy,0,N/A,0.0036,1
10x10,201,10x10,BFS,0,N/A,0.0134,3
10x10,201,10x10,A*,0,N/A,0.0105,3
10x10,201,10x10,Greedy,0,N/A,0.0076,3
10x10,202,10x10,BFS,0,N/A,0.0906,48
10x10,202,10x10,A*,0,N/A,0.1428,48
10x10,202,10x10,Greedy,0,N/A,0.1202,48
10x10,203,10x10,BFS,1,18,0.0949,48
10x10,203,10x10,A*,1,18,0.1016,31
10x10,203,10x10,Greedy,1,18,0.0594,19
10x10,204,10x10,BFS,0,N/A,0.0052,2
10x10,204,10x10,A*,0,N/A,0.005,2
10x10,204,10x10,Greedy,0,N/A,0.0048,2
10x10,205,10x10,BFS,1,18,0.1407,74
10x10,205,10x10,A*,1,18,0.196,60
10x10,205,10x10,Greedy,1,18,0.0551,19
10x10,206,10x10,BFS,0,N/A,0.1068,57
10x10,206,10x10,A*,0,N/A,0.1578,57
10x10,206,10x10,Greedy,0,N/A,0.1414,57
10x10,207,10x10,BFS,1,18,0.1481,63
10x10,207,10x10,A*,1,18,0.2322,51
10x10,207,10x10,Greedy,1,18,0.0823,19
10x10,208,10x10,BFS,0,N/A,0.0591,19
10x10,208,10x10,A*,0,N/A,0.0787,19
10x10,208,10x10,Greedy,0,N/A,0.0677,19
10x10,209,10x10,BFS,0,N/A,0.0525,19
10x10,209,10x10,A*,0,N/A,0.071,19
10x10,209,10x10,Greedy,0,N/A,0.0653,19
15x15,300,15x15,BFS,0,N/A,0.0651,12
15x15,300,15x15,A*,0,N/A,0.072,12
15x15,300,15x15,Greedy,0,N/A,0.0401,12
15x15,301,15x15,BFS,1,30,0.3653,146
15x15,301,15x15,A*,1,30,0.2649,104
15x15,301,15x15,Greedy,1,30,0.0889,39
15x15,302,15x15,BFS,0,N/A,0.2301,160
15x15,302,15x15,A*,0,N/A,0.3619,160
15x15,302,15x15,Greedy,0,N/A,0.3178,160
15x15,303,15x15,BFS,0,N/A,0.2809,148
15x15,303,15x15,A*,0,N/A,0.4175,148
15x15,303,15x15,Greedy,0,N/A,0.2687,148
15x15,304,15x15,BFS,0,N/A,0.0041,2
15x15,304,15x15,A*,0,N/A,0.0048,2
15x15,304,15x15,Greedy,0,N/A,0.0036,2
